iguanaID,tx,diet,lps,time,oi
1,G-C,g,c,0324oi,1.675752414
1,G-C,g,c,0423oi,-0.624172908
1,G-C,g,c,0428oi,2.75902356
1,G-C,g,c,0430oi,-1.123066995
1,G-C,g,c,0504oi,0.716570498
1,G-C,g,c,0511oi,1.631812627
1,G-C,g,c,0525oi,-1.265639037
1,G-C,g,c,0528oi,-0.28009418
1,G-C,g,c,0530oi,3.627695217
1,G-C,g,c,0603oi,-1.508680459
1,G-C,g,c,0610oi,1.038409308
1,G-C,g,c,0628oi,2.005895264
2,W-L,w,l,0324oi,0.986845505
2,W-L,w,l,0423oi,-1.701760803
2,W-L,w,l,0428oi,0.982725035
2,W-L,w,l,0430oi,-2.95743637
2,W-L,w,l,0504oi,-2.058525146
2,W-L,w,l,0511oi,-3.691132697
2,W-L,w,l,0525oi,-0.457487017
2,W-L,w,l,0528oi,-0.900130365
2,W-L,w,l,0530oi,-0.771405365
2,W-L,w,l,0603oi,-0.303363013
2,W-L,w,l,0610oi,0.242981345
2,W-L,w,l,0624oi,1.854866619
2,W-L,w,l,0628oi,1.945757568
3,G-C,g,c,0324oi,-1.307343174
3,G-C,g,c,0423oi,1.16139885
3,G-C,g,c,0428oi,1.275080185
3,G-C,g,c,0430oi,-1.460526972
3,G-C,g,c,0504oi,1.316467533
3,G-C,g,c,0511oi,-0.145746281
3,G-C,g,c,0525oi,-0.162237812
3,G-C,g,c,0528oi,-0.844007924
3,G-C,g,c,0530oi,0.017987245
3,G-C,g,c,0603oi,0.330639483
3,G-C,g,c,0610oi,-0.480178848
3,G-C,g,c,0624oi,1.299422287
3,G-C,g,c,0628oi,-1.85238594
4,G-L,g,l,0324oi,3.682665092
4,G-L,g,l,0423oi,1.248551239
4,G-L,g,l,0428oi,1.834293422
4,G-L,g,l,0430oi,-0.407017333
4,G-L,g,l,0504oi,2.82428652
4,G-L,g,l,0511oi,2.839522366
4,G-L,g,l,0525oi,-0.859576841
4,G-L,g,l,0528oi,3.070053819
4,G-L,g,l,0530oi,2.29131363
4,G-L,g,l,0603oi,1.543449337
4,G-L,g,l,0610oi,-0.249219605
4,G-L,g,l,0624oi,1.131698378
4,G-L,g,l,0628oi,1.211773158
5,W-L,w,l,0324oi,0.921312496
5,W-L,w,l,0423oi,0.809261676
5,W-L,w,l,0428oi,0.211074563
5,W-L,w,l,0430oi,-0.856588881
5,W-L,w,l,0504oi,0.358458719
5,W-L,w,l,0511oi,1.060192039
5,W-L,w,l,0525oi,4.432657921
5,W-L,w,l,0528oi,-1.833953677
5,W-L,w,l,0530oi,2.201559237
5,W-L,w,l,0610oi,-0.488811794
5,W-L,w,l,0624oi,-0.154255151
5,W-L,w,l,0628oi,0.399069863
6,W-C,w,c,0324oi,-0.361565418
6,W-C,w,c,0423oi,0.993446626
6,W-C,w,c,0428oi,0.125956815
6,W-C,w,c,0430oi,-2.690958257
6,W-C,w,c,0504oi,-0.108784855
6,W-C,w,c,0511oi,-0.979966725
6,W-C,w,c,0525oi,-0.669797744
6,W-C,w,c,0528oi,1.964360798
6,W-C,w,c,0530oi,-1.085643163
6,W-C,w,c,0603oi,-0.854970704
6,W-C,w,c,0610oi,-3.008213927
6,W-C,w,c,0624oi,-1.655619062
6,W-C,w,c,0628oi,0.88559368
7,G-C,g,c,0324oi,0.08579045
7,G-C,g,c,0423oi,-0.323020277
7,G-C,g,c,0428oi,0.794528199
7,G-C,g,c,0430oi,-0.004170625
7,G-C,g,c,0504oi,-1.74490564
7,G-C,g,c,0511oi,-0.611761608
7,G-C,g,c,0525oi,2.358344639
7,G-C,g,c,0528oi,2.909011471
7,G-C,g,c,0530oi,-0.533286948
7,G-C,g,c,0603oi,-1.7087144
7,G-C,g,c,0610oi,-0.714156631
7,G-C,g,c,0624oi,-1.282682538
8,G-L,g,l,0324oi,-0.343228543
8,G-L,g,l,0423oi,-0.816825559
8,G-L,g,l,0428oi,-0.108768406
8,G-L,g,l,0430oi,0.156021713
8,G-L,g,l,0504oi,-1.43433898
8,G-L,g,l,0511oi,0.390514757
8,G-L,g,l,0525oi,2.474901737
8,G-L,g,l,0528oi,-0.711120236
8,G-L,g,l,0530oi,0.533636617
8,G-L,g,l,0603oi,-1.455250816
8,G-L,g,l,0610oi,0.202415303
8,G-L,g,l,0624oi,-1.978871568
8,G-L,g,l,0628oi,-0.215093905
9,W-C,w,c,0324oi,1.178183342
9,W-C,w,c,0423oi,-1.839897736
9,W-C,w,c,0430oi,1.164387147
9,W-C,w,c,0504oi,-2.151274112
9,W-C,w,c,0511oi,-0.801590746
9,W-C,w,c,0525oi,-1.257032482
9,W-C,w,c,0528oi,-2.266617824
9,W-C,w,c,0530oi,-2.19663209
9,W-C,w,c,0603oi,-2.135590596
9,W-C,w,c,0610oi,-2.101128755
9,W-C,w,c,0624oi,-0.298603223
9,W-C,w,c,0628oi,1.131443405
10,W-L,w,l,0324oi,2.359552721
10,W-L,w,l,0423oi,-0.645520499
10,W-L,w,l,0428oi,0.792212154
10,W-L,w,l,0430oi,1.737165119
10,W-L,w,l,0504oi,-1.80521213
10,W-L,w,l,0525oi,1.066335915
10,W-L,w,l,0528oi,0.344154975
10,W-L,w,l,0530oi,-1.106041773
10,W-L,w,l,0603oi,0.811582372
10,W-L,w,l,0610oi,-1.123709169
10,W-L,w,l,0624oi,2.474263356
10,W-L,w,l,0628oi,-0.981151128
11,G-C,g,c,0324oi,-0.321720008
11,G-C,g,c,0423oi,0.531043884
11,G-C,g,c,0428oi,1.109961679
11,G-C,g,c,0430oi,-0.232533647
11,G-C,g,c,0504oi,0.38051066
11,G-C,g,c,0511oi,3.848033319
11,G-C,g,c,0525oi,-0.111551331
11,G-C,g,c,0528oi,-0.322094327
11,G-C,g,c,0530oi,-1.700039518
11,G-C,g,c,0603oi,-1.036317097
11,G-C,g,c,0610oi,0.252465285
11,G-C,g,c,0624oi,1.828982869
11,G-C,g,c,0628oi,-0.617734791
12,W-L,w,l,0324oi,0.033642304
12,W-L,w,l,0428oi,-0.263145202
12,W-L,w,l,0430oi,0.067810803
12,W-L,w,l,0504oi,-0.12379273
12,W-L,w,l,0511oi,-0.051282087
12,W-L,w,l,0525oi,-0.751658967
12,W-L,w,l,0528oi,-0.2860548
12,W-L,w,l,0530oi,0.744625301
12,W-L,w,l,0603oi,3.131327727
12,W-L,w,l,0610oi,-0.255353749
12,W-L,w,l,0624oi,-1.092839226
12,W-L,w,l,0628oi,-1.677443928
13,G-C,g,c,0324oi,0.532138913
13,G-C,g,c,0423oi,-0.169353292
13,G-C,g,c,0428oi,-0.400590014
13,G-C,g,c,0430oi,-1.874251246
13,G-C,g,c,0504oi,0.657913954
13,G-C,g,c,0511oi,-0.932333005
13,G-C,g,c,0525oi,-1.140415143
13,G-C,g,c,0528oi,-0.561058012
13,G-C,g,c,0530oi,-0.675829104
13,G-C,g,c,0603oi,-0.164046751
13,G-C,g,c,0610oi,-0.63146251
13,G-C,g,c,0624oi,0.159476072
13,G-C,g,c,0628oi,-0.151739163
14,G-L,g,l,0324oi,0.282853247
14,G-L,g,l,0423oi,0.490816965
14,G-L,g,l,0428oi,-0.24860123
14,G-L,g,l,0430oi,0.846088297
14,G-L,g,l,0504oi,0.695059223
14,G-L,g,l,0511oi,-0.392495415
14,G-L,g,l,0525oi,-0.89236696
14,G-L,g,l,0528oi,-1.263760801
14,G-L,g,l,0530oi,2.154463447
14,G-L,g,l,0603oi,-0.929636099
14,G-L,g,l,0610oi,-0.812934395
14,G-L,g,l,0624oi,-0.207402884
14,G-L,g,l,0628oi,-1.046859737
15,G-C,g,c,0324oi,-1.417439149
15,G-C,g,c,0423oi,1.141977382
15,G-C,g,c,0428oi,-0.758647875
15,G-C,g,c,0430oi,1.07708633
15,G-C,g,c,0504oi,-0.57527028
15,G-C,g,c,0511oi,-1.05290237
15,G-C,g,c,0525oi,-0.851035636
15,G-C,g,c,0528oi,-0.482530991
15,G-C,g,c,0530oi,0.958157312
15,G-C,g,c,0603oi,-1.671789372
15,G-C,g,c,0610oi,-0.650284793
15,G-C,g,c,0624oi,-2.047517356
15,G-C,g,c,0628oi,-1.752929838
16,W-C,w,c,0324oi,-1.109118382
16,W-C,w,c,0423oi,-1.325804216
16,W-C,w,c,0428oi,-1.155129829
16,W-C,w,c,0430oi,0.785044618
16,W-C,w,c,0504oi,-1.50002096
16,W-C,w,c,0511oi,-0.856411281
16,W-C,w,c,0525oi,-0.576455187
16,W-C,w,c,0528oi,4.37776419
16,W-C,w,c,0530oi,-0.555611889
16,W-C,w,c,0610oi,-1.91088115
16,W-C,w,c,0624oi,-2.643838887
16,W-C,w,c,0628oi,-1.44725186
17,W-L,w,l,0324oi,2.030032598
17,W-L,w,l,0423oi,-1.322276601
17,W-L,w,l,0428oi,-0.55033472
17,W-L,w,l,0430oi,-0.319083634
17,W-L,w,l,0511oi,-0.916859984
17,W-L,w,l,0525oi,-0.735517391
17,W-L,w,l,0528oi,-0.143754818
17,W-L,w,l,0530oi,-0.9540524
17,W-L,w,l,0603oi,-1.761320009
17,W-L,w,l,0610oi,-1.190271114
17,W-L,w,l,0624oi,2.632611093
17,W-L,w,l,0628oi,0.94200785
18,G-C,g,c,0324oi,-0.705632399
18,G-C,g,c,0423oi,2.048270899
18,G-C,g,c,0428oi,2.598393183
18,G-C,g,c,0430oi,-0.112498076
18,G-C,g,c,0504oi,-1.268484894
18,G-C,g,c,0511oi,-1.22085897
18,G-C,g,c,0525oi,-1.485475526
18,G-C,g,c,0528oi,-0.800321084
18,G-C,g,c,0530oi,-1.543440193
18,G-C,g,c,0603oi,-0.116461449
18,G-C,g,c,0610oi,-0.529757624
18,G-C,g,c,0624oi,-0.029642179
18,G-C,g,c,0628oi,-0.22816029
19,W-C,w,c,0324oi,-0.906021445
19,W-C,w,c,0423oi,0.450065711
19,W-C,w,c,0428oi,2.184710998
19,W-C,w,c,0430oi,0.324433028
19,W-C,w,c,0504oi,-0.859149028
19,W-C,w,c,0511oi,-1.788525306
19,W-C,w,c,0525oi,-0.852630031
19,W-C,w,c,0528oi,-1.265043857
19,W-C,w,c,0530oi,-2.526203918
19,W-C,w,c,0603oi,-2.004208116
19,W-C,w,c,0610oi,-0.499189613
19,W-C,w,c,0624oi,-0.688954859
19,W-C,w,c,0628oi,0.577270055
20,W-C,w,c,0324oi,0.78026773
20,W-C,w,c,0423oi,0.946339255
20,W-C,w,c,0428oi,3.995452151
20,W-C,w,c,0430oi,-0.811457139
20,W-C,w,c,0504oi,-0.591281765
20,W-C,w,c,0511oi,2.593544582
20,W-C,w,c,0525oi,-1.996448094
20,W-C,w,c,0528oi,-0.565852052
20,W-C,w,c,0530oi,-0.80397944
20,W-C,w,c,0603oi,1.303474706
20,W-C,w,c,0610oi,-0.024160314
20,W-C,w,c,0624oi,1.63983209
20,W-C,w,c,0628oi,-0.515374228
21,W-L,w,l,0324oi,-0.177732894
21,W-L,w,l,0423oi,0.100571577
21,W-L,w,l,0428oi,-1.3887232
21,W-L,w,l,0430oi,-1.199021502
21,W-L,w,l,0504oi,-1.308776193
21,W-L,w,l,0511oi,-0.886701241
21,W-L,w,l,0525oi,0.432803486
21,W-L,w,l,0528oi,-0.94262297
21,W-L,w,l,0530oi,0.086171918
21,W-L,w,l,0603oi,-0.018623064
21,W-L,w,l,0610oi,-0.307811114
21,W-L,w,l,0624oi,-1.284776927
21,W-L,w,l,0628oi,-1.18253198
22,G-L,g,l,0324oi,-0.597466221
22,G-L,g,l,0423oi,-0.210989121
22,G-L,g,l,0428oi,-0.484726547
22,G-L,g,l,0430oi,0.553277528
22,G-L,g,l,0511oi,0.370053702
22,G-L,g,l,0525oi,1.449286956
22,G-L,g,l,0528oi,0.560275533
22,G-L,g,l,0530oi,1.395941759
22,G-L,g,l,0603oi,-0.453985295
22,G-L,g,l,0610oi,-0.477914237
22,G-L,g,l,0624oi,-0.69966814
22,G-L,g,l,0628oi,-1.621100824
23,G-C,g,c,0324oi,-2.080967638
23,G-C,g,c,0423oi,-1.043527352
23,G-C,g,c,0428oi,-1.774953057
23,G-C,g,c,0430oi,1.139215463
23,G-C,g,c,0504oi,0.288810827
23,G-C,g,c,0511oi,-0.258061337
23,G-C,g,c,0525oi,0.535162863
23,G-C,g,c,0528oi,-0.126360772
23,G-C,g,c,0530oi,-1.910009707
23,G-C,g,c,0603oi,-1.296422972
23,G-C,g,c,0610oi,0.765653242
23,G-C,g,c,0624oi,-0.232969954
23,G-C,g,c,0628oi,0.896414907
24,G-L,g,l,0324oi,-2.139149924
24,G-L,g,l,0423oi,1.255956026
24,G-L,g,l,0428oi,0.182300807
24,G-L,g,l,0430oi,2.109259813
24,G-L,g,l,0504oi,-0.354633843
24,G-L,g,l,0511oi,2.053804496
24,G-L,g,l,0525oi,3.086479004
24,G-L,g,l,0528oi,2.265080003
24,G-L,g,l,0530oi,0.988947035
24,G-L,g,l,0603oi,2.799715629
24,G-L,g,l,0610oi,0.922365651
24,G-L,g,l,0624oi,-1.385466021
24,G-L,g,l,0628oi,0.971452738
25,G-C,g,c,0324oi,0.500033273
25,G-C,g,c,0423oi,-1.257705933
25,G-C,g,c,0428oi,-0.93936477
25,G-C,g,c,0430oi,2.009530011
25,G-C,g,c,0504oi,2.463954276
25,G-C,g,c,0511oi,1.619013592
25,G-C,g,c,0525oi,-1.721707361
25,G-C,g,c,0528oi,0.273118489
25,G-C,g,c,0530oi,-2.5092906
25,G-C,g,c,0603oi,-0.637336333
25,G-C,g,c,0610oi,0.388699133
25,G-C,g,c,0624oi,-0.588088435
25,G-C,g,c,0628oi,0.281028934
26,W-L,w,l,0324oi,-1.573185362
26,W-L,w,l,0423oi,-1.754685712
26,W-L,w,l,0428oi,-0.099412638
26,W-L,w,l,0430oi,1.45179612
26,W-L,w,l,0504oi,-0.388680571
26,W-L,w,l,0511oi,-0.04493223
26,W-L,w,l,0525oi,-0.146619564
26,W-L,w,l,0528oi,0.655113333
26,W-L,w,l,0530oi,1.083970518
26,W-L,w,l,0603oi,0.814606728
26,W-L,w,l,0610oi,0.112875995
26,W-L,w,l,0624oi,-0.764028616
26,W-L,w,l,0628oi,-1.435111583
27,W-C,w,c,0324oi,-2.573120929
27,W-C,w,c,0423oi,2.740200375
27,W-C,w,c,0428oi,-1.479755522
27,W-C,w,c,0430oi,-1.69182023
27,W-C,w,c,0504oi,0.268944407
27,W-C,w,c,0511oi,-1.307643381
27,W-C,w,c,0525oi,-1.386419426
27,W-C,w,c,0528oi,-1.783701156
27,W-C,w,c,0530oi,0.958478881
27,W-C,w,c,0603oi,-2.373186616
27,W-C,w,c,0610oi,-0.002462264
27,W-C,w,c,0624oi,-0.017333974
27,W-C,w,c,0628oi,2.222115775
28,G-L,g,l,0324oi,-1.878489059
28,G-L,g,l,0423oi,4.297301191
28,G-L,g,l,0428oi,1.672204374
28,G-L,g,l,0430oi,2.386715426
28,G-L,g,l,0504oi,3.292451915
28,G-L,g,l,0525oi,1.352031332
28,G-L,g,l,0528oi,-0.15426292
28,G-L,g,l,0530oi,1.235646484
28,G-L,g,l,0603oi,4.429352371
28,G-L,g,l,0610oi,3.478327165
28,G-L,g,l,0624oi,0.947139305
28,G-L,g,l,0628oi,-0.211892419
29,G-L,g,l,0324oi,-2.252342836
29,G-L,g,l,0423oi,0.405077045
29,G-L,g,l,0428oi,-1.835425372
29,G-L,g,l,0430oi,-0.139951597
29,G-L,g,l,0504oi,2.681585652
29,G-L,g,l,0511oi,0.505390346
29,G-L,g,l,0525oi,-0.166339193
29,G-L,g,l,0528oi,0.098283662
29,G-L,g,l,0530oi,0.491200636
29,G-L,g,l,0603oi,3.481779579
29,G-L,g,l,0610oi,2.087391266
29,G-L,g,l,0624oi,-0.477008193
30,W-C,w,c,0324oi,1.19273601
30,W-C,w,c,0423oi,1.426733191
30,W-C,w,c,0428oi,-1.824041426
30,W-C,w,c,0430oi,-1.38767183
30,W-C,w,c,0504oi,-0.487456222
30,W-C,w,c,0511oi,-0.087462647
30,W-C,w,c,0525oi,-0.740071597
30,W-C,w,c,0528oi,-1.212385968
30,W-C,w,c,0530oi,-1.385728741
30,W-C,w,c,0603oi,1.977804687
30,W-C,w,c,0610oi,-1.801771276
30,W-C,w,c,0624oi,-0.120165724
30,W-C,w,c,0628oi,0.418239674
31,G-L,g,l,0324oi,0.684806802
31,G-L,g,l,0423oi,-0.06120999
31,G-L,g,l,0428oi,-1.419767356
31,G-L,g,l,0430oi,0.249129128
31,G-L,g,l,0511oi,1.715117989
31,G-L,g,l,0525oi,2.778920016
31,G-L,g,l,0528oi,1.970591386
31,G-L,g,l,0530oi,3.678226719
31,G-L,g,l,0603oi,0.702752523
31,G-L,g,l,0610oi,2.75998174
31,G-L,g,l,0624oi,-0.643556154
31,G-L,g,l,0628oi,1.701555395
32,W-L,w,l,0324oi,0.457433638
32,W-L,w,l,0423oi,-1.674413775
32,W-L,w,l,0428oi,-1.594936211
32,W-L,w,l,0430oi,-0.526534956
32,W-L,w,l,0511oi,1.734922963
32,W-L,w,l,0525oi,0.75310918
32,W-L,w,l,0528oi,-0.689721131
32,W-L,w,l,0530oi,0.628354352
32,W-L,w,l,0603oi,1.530146091
32,W-L,w,l,0610oi,-1.955836464
32,W-L,w,l,0624oi,-1.477214091
32,W-L,w,l,0628oi,0.722421014
33,W-C,w,c,0324oi,1.142530464
33,W-C,w,c,0423oi,-1.315924045
33,W-C,w,c,0428oi,-0.845800502
33,W-C,w,c,0430oi,1.140511555
33,W-C,w,c,0504oi,1.056774411
33,W-C,w,c,0511oi,-1.054592233
33,W-C,w,c,0525oi,-2.148857946
33,W-C,w,c,0528oi,-0.075958033
33,W-C,w,c,0530oi,0.543286543
33,W-C,w,c,0603oi,-0.901055933
33,W-C,w,c,0610oi,-0.357861096
33,W-C,w,c,0624oi,2.977515757
33,W-C,w,c,0628oi,-1.808296847
34,W-C,w,c,0324oi,0.968462689
34,W-C,w,c,0423oi,-1.195075631
34,W-C,w,c,0428oi,-1.263774563
34,W-C,w,c,0430oi,2.484933971
34,W-C,w,c,0504oi,-0.912436896
34,W-C,w,c,0511oi,-1.184940843
34,W-C,w,c,0525oi,-0.374200943
34,W-C,w,c,0528oi,0.12657119
34,W-C,w,c,0530oi,-1.287165097
34,W-C,w,c,0603oi,-1.81886111
34,W-C,w,c,0610oi,4.54975828
34,W-C,w,c,0624oi,4.528918347
34,W-C,w,c,0628oi,-0.68596517
35,W-L,w,l,0324oi,0.503071467
35,W-L,w,l,0423oi,-1.140507803
35,W-L,w,l,0428oi,-2.082018686
35,W-L,w,l,0430oi,-1.887816781
35,W-L,w,l,0504oi,1.456268047
35,W-L,w,l,0511oi,-1.705039067
35,W-L,w,l,0525oi,0.247194569
35,W-L,w,l,0528oi,-0.924575544
35,W-L,w,l,0530oi,-1.93626908
35,W-L,w,l,0603oi,-1.731135162
35,W-L,w,l,0610oi,-0.629246431
35,W-L,w,l,0624oi,-0.569126663
35,W-L,w,l,0628oi,2.712094076
36,G-L,g,l,0324oi,-0.253587777
36,G-L,g,l,0423oi,0.090484564
36,G-L,g,l,0504oi,0.841492592
36,G-L,g,l,0511oi,-0.592993198
36,G-L,g,l,0525oi,-0.217686389
36,G-L,g,l,0528oi,-0.178395405
36,G-L,g,l,0603oi,-0.062868107
36,G-L,g,l,0610oi,3.40129316
36,G-L,g,l,0624oi,-1.135096349
