iguanaID,tx,diet,lps,time,trtri
1,G-C,g,c,0324trtri,1.329412706
1,G-C,g,c,0423trtri,5.876140182
1,G-C,g,c,0428trtri,4.694683401
1,G-C,g,c,0430trtri,5.215858341
1,G-C,g,c,0504trtri,2.653698708
1,G-C,g,c,0511trtri,4.333333333
1,G-C,g,c,0525trtri,3.701867816
1,G-C,g,c,0528trtri,4.492552686
1,G-C,g,c,0530trtri,4.343391714
1,G-C,g,c,0603trtri,5.530139721
1,G-C,g,c,0610trtri,3.591724245
1,G-C,g,c,0628trtri,2.730844794
2,W-L,w,l,0324trtri,1.151784285
2,W-L,w,l,0423trtri,1.124579933
2,W-L,w,l,0428trtri,0.382527147
2,W-L,w,l,0430trtri,1.906291624
2,W-L,w,l,0504trtri,0.925386909
2,W-L,w,l,0511trtri,1.211925287
2,W-L,w,l,0525trtri,2.007183908
2,W-L,w,l,0528trtri,1.687925844
2,W-L,w,l,0530trtri,2.427023985
2,W-L,w,l,0603trtri,3.4499002
2,W-L,w,l,0610trtri,2.222653521
2,W-L,w,l,0624trtri,3.757084077
2,W-L,w,l,0628trtri,2.783497053
3,G-C,g,c,0423trtri,3.741798688
3,G-C,g,c,0428trtri,3.003455084
3,G-C,g,c,0430trtri,5.617017942
3,G-C,g,c,0504trtri,1.432273179
3,G-C,g,c,0511trtri,3.019755747
3,G-C,g,c,0525trtri,1.572557471
3,G-C,g,c,0528trtri,1.985026145
3,G-C,g,c,0530trtri,2.351410283
3,G-C,g,c,0603trtri,3.06746507
3,G-C,g,c,0610trtri,2.451284838
3,G-C,g,c,0624trtri,3.740780995
3,G-C,g,c,0628trtri,3.450687623
4,G-L,g,l,0324trtri,0.654504721
4,G-L,g,l,0423trtri,5.264442311
4,G-L,g,l,0428trtri,1.034057256
4,G-L,g,l,0504trtri,2.697714042
4,G-L,g,l,0511trtri,3.011494253
4,G-L,g,l,0525trtri,1.425287356
4,G-L,g,l,0528trtri,2.77254001
4,G-L,g,l,0530trtri,2.044735176
4,G-L,g,l,0603trtri,4.120159681
4,G-L,g,l,0610trtri,4.855601273
4,G-L,g,l,0624trtri,5.453769117
4,G-L,g,l,0628trtri,5.480550098
5,W-L,w,l,0324trtri,1.804288686
5,W-L,w,l,0423trtri,1.266602656
5,W-L,w,l,0428trtri,0.736849528
5,W-L,w,l,0430trtri,2.40578234
5,W-L,w,l,0504trtri,4.63971319
5,W-L,w,l,0511trtri,3.073994253
5,W-L,w,l,0525trtri,3.447916667
5,W-L,w,l,0528trtri,1.100855649
5,W-L,w,l,0530trtri,1.910388971
5,W-L,w,l,0610trtri,2.529306731
5,W-L,w,l,0624trtri,1.537535906
5,W-L,w,l,0628trtri,3.162278978
6,W-C,w,c,0324trtri,1.188990238
6,W-C,w,c,0423trtri,0.863338134
6,W-C,w,c,0428trtri,0.761881258
6,W-C,w,c,0430trtri,1.360181775
6,W-C,w,c,0504trtri,0.989990061
6,W-C,w,c,0511trtri,1.826149425
6,W-C,w,c,0525trtri,1.253951149
6,W-C,w,c,0528trtri,1.062430677
6,W-C,w,c,0530trtri,1.00337624
6,W-C,w,c,0603trtri,2.233932136
6,W-C,w,c,0610trtri,1.308904588
6,W-C,w,c,0624trtri,1.681934632
6,W-C,w,c,0628trtri,2.063654224
7,G-C,g,c,0324trtri,1.554648744
7,G-C,g,c,0423trtri,2.069131061
7,G-C,g,c,0428trtri,1.963051756
7,G-C,g,c,0430trtri,3.507404215
7,G-C,g,c,0504trtri,2.820176061
7,G-C,g,c,0511trtri,4.168103448
7,G-C,g,c,0525trtri,2.341235632
7,G-C,g,c,0528trtri,5.340675012
7,G-C,g,c,0530trtri,2.63206021
7,G-C,g,c,0603trtri,4.224351297
7,G-C,g,c,0610trtri,5.050073752
7,G-C,g,c,0624trtri,4.123515255
7,G-C,g,c,0628trtri,2.418860511
8,G-L,g,l,0324trtri,1.405024804
8,G-L,g,l,0423trtri,2.247959674
8,G-L,g,l,0428trtri,0.710054999
8,G-L,g,l,0430trtri,1.618349918
8,G-L,g,l,0504trtri,3.208149936
8,G-L,g,l,0511trtri,0.992816092
8,G-L,g,l,0525trtri,4.087284483
8,G-L,g,l,0528trtri,1.519172873
8,G-L,g,l,0530trtri,2.000773722
8,G-L,g,l,0603trtri,5.112974052
8,G-L,g,l,0610trtri,3.031985094
8,G-L,g,l,0624trtri,5.164195326
8,G-L,g,l,0628trtri,5.351277014
9,W-C,w,c,0423trtri,2.595215234
9,W-C,w,c,0430trtri,2.312544073
9,W-C,w,c,0504trtri,1.963651853
9,W-C,w,c,0511trtri,2.14295977
9,W-C,w,c,0525trtri,1.64295977
9,W-C,w,c,0528trtri,1.052923467
9,W-C,w,c,0530trtri,1.680382641
9,W-C,w,c,0603trtri,2.623952096
9,W-C,w,c,0610trtri,1.095800016
9,W-C,w,c,0624trtri,1.391196336
9,W-C,w,c,0628trtri,1.932416503
10,W-L,w,l,0423trtri,1.12360739
10,W-L,w,l,0428trtri,1.00514737
10,W-L,w,l,0430trtri,4.244691687
10,W-L,w,l,0504trtri,1.975720574
10,W-L,w,l,0528trtri,1.25376327
10,W-L,w,l,0530trtri,2.270169515
10,W-L,w,l,0603trtri,4.209181637
10,W-L,w,l,0610trtri,4.582330564
10,W-L,w,l,0624trtri,5.258546169
10,W-L,w,l,0628trtri,3.985068762
11,G-C,g,c,0324trtri,2.037526004
11,G-C,g,c,0423trtri,1.858694119
11,G-C,g,c,0428trtri,2.101960231
11,G-C,g,c,0430trtri,3.335422706
11,G-C,g,c,0504trtri,1.834800511
11,G-C,g,c,0511trtri,3.42816092
11,G-C,g,c,0525trtri,2.097528125
11,G-C,g,c,0528trtri,1.727539217
11,G-C,g,c,0530trtri,2.162551875
11,G-C,g,c,0603trtri,1.756087824
11,G-C,g,c,0610trtri,2.458271873
11,G-C,g,c,0624trtri,5.519842829
11,G-C,g,c,0628trtri,2.721807466
12,W-L,w,l,0324trtri,1.619459113
12,W-L,w,l,0428trtri,0.522493301
12,W-L,w,l,0430trtri,1.573297814
12,W-L,w,l,0504trtri,0.911543376
12,W-L,w,l,0511trtri,3.276939655
12,W-L,w,l,0525trtri,1.089367771
12,W-L,w,l,0528trtri,0.666296942
12,W-L,w,l,0530trtri,1.406766547
12,W-L,w,l,0603trtri,4.153692615
12,W-L,w,l,0610trtri,2.874776803
12,W-L,w,l,0624trtri,2.805500982
12,W-L,w,l,0628trtri,0.799214145
13,G-C,g,c,0324trtri,1.750280045
13,G-C,g,c,0423trtri,3.06585813
13,G-C,g,c,0428trtri,2.410449866
13,G-C,g,c,0430trtri,4.940452872
13,G-C,g,c,0504trtri,4.673079654
13,G-C,g,c,0511trtri,4.579741379
13,G-C,g,c,0525trtri,1.802408493
13,G-C,g,c,0528trtri,1.538187292
13,G-C,g,c,0530trtri,2.721389885
13,G-C,g,c,0603trtri,4.712974052
13,G-C,g,c,0610trtri,4.807856533
13,G-C,g,c,0624trtri,5.782711198
13,G-C,g,c,0628trtri,5.025540275
14,G-L,g,l,0324trtri,1.354216675
14,G-L,g,l,0423trtri,1.475109293
14,G-L,g,l,0428trtri,1.188125793
14,G-L,g,l,0430trtri,1.961921178
14,G-L,g,l,0504trtri,2.625301718
14,G-L,g,l,0511trtri,3.813218391
14,G-L,g,l,0525trtri,0.60885755
14,G-L,g,l,0528trtri,1.005783553
14,G-L,g,l,0603trtri,3.04750499
14,G-L,g,l,0610trtri,3.880909867
14,G-L,g,l,0624trtri,1.896660118
14,G-L,g,l,0628trtri,3.616895874
15,G-C,g,c,0324trtri,0.869739158
15,G-C,g,c,0423trtri,2.191157806
15,G-C,g,c,0428trtri,1.474756734
15,G-C,g,c,0430trtri,1.8126616
15,G-C,g,c,0504trtri,1.667258271
15,G-C,g,c,0511trtri,5.009698276
15,G-C,g,c,0528trtri,2.500396134
15,G-C,g,c,0530trtri,2.449883942
15,G-C,g,c,0603trtri,4.633932136
15,G-C,g,c,0610trtri,5.677742411
15,G-C,g,c,0624trtri,4.75913556
15,G-C,g,c,0628trtri,5.905697446
16,W-C,w,c,0324trtri,1.177788446
16,W-C,w,c,0423trtri,1.838950783
16,W-C,w,c,0428trtri,3.053518545
16,W-C,w,c,0430trtri,2.326255583
16,W-C,w,c,0504trtri,2.552889394
16,W-C,w,c,0511trtri,5.777658046
16,W-C,w,c,0525trtri,5.514577721
16,W-C,w,c,0528trtri,3.018935193
16,W-C,w,c,0530trtri,5.102342266
16,W-C,w,c,0603trtri,6.029540918
16,W-C,w,c,0610trtri,5.797686515
16,W-C,w,c,0624trtri,2.48172888
16,W-C,w,c,0628trtri,4.152062868
17,W-L,w,l,0324trtri,0.814530325
17,W-L,w,l,0423trtri,0.998448738
17,W-L,w,l,0428trtri,1.52834579
17,W-L,w,l,0430trtri,1.319047246
17,W-L,w,l,0504trtri,1.681811728
17,W-L,w,l,0511trtri,2.577945402
17,W-L,w,l,0525trtri,1.750514974
17,W-L,w,l,0528trtri,1.348043099
17,W-L,w,l,0530trtri,0.761412394
17,W-L,w,l,0603trtri,2.685828343
17,W-L,w,l,0610trtri,2.068550578
17,W-L,w,l,0624trtri,5.101768173
17,W-L,w,l,0628trtri,2.673084479
18,G-C,g,c,0324trtri,1.910705713
18,G-C,g,c,0423trtri,1.245945565
18,G-C,g,c,0428trtri,2.310675504
18,G-C,g,c,0430trtri,4.696779754
18,G-C,g,c,0504trtri,3.949311373
18,G-C,g,c,0511trtri,2.854885057
18,G-C,g,c,0525trtri,1.69386785
18,G-C,g,c,0528trtri,0.891300903
18,G-C,g,c,0530trtri,1.823872828
18,G-C,g,c,0603trtri,4.025149701
18,G-C,g,c,0610trtri,4.107212173
18,G-C,g,c,0624trtri,3.13280943
18,G-C,g,c,0628trtri,1.353634578
19,W-C,w,c,0324trtri,2.455592895
19,W-C,w,c,0423trtri,1.115851079
19,W-C,w,c,0428trtri,1.197994202
19,W-C,w,c,0430trtri,2.471989344
19,W-C,w,c,0504trtri,1.414880023
19,W-C,w,c,0511trtri,5.644396552
19,W-C,w,c,0525trtri,2.659641895
19,W-C,w,c,0528trtri,0.967152001
19,W-C,w,c,0530trtri,1.343813744
19,W-C,w,c,0603trtri,2.426746507
19,W-C,w,c,0610trtri,4.481018554
19,W-C,w,c,0624trtri,5.042829077
19,W-C,w,c,0628trtri,2.530205816
20,W-C,w,c,0324trtri,2.167146743
20,W-C,w,c,0423trtri,1.66372867
20,W-C,w,c,0428trtri,1.404058607
20,W-C,w,c,0430trtri,5.372953067
20,W-C,w,c,0504trtri,2.264659946
20,W-C,w,c,0511trtri,3.944324713
20,W-C,w,c,0525trtri,1.406670892
20,W-C,w,c,0528trtri,0.635155096
20,W-C,w,c,0530trtri,1.054371527
20,W-C,w,c,0603trtri,3.021157685
20,W-C,w,c,0610trtri,2.011489791
20,W-C,w,c,0624trtri,3.697445972
20,W-C,w,c,0628trtri,1.50612449
21,W-L,w,l,0324trtri,1.076572252
21,W-L,w,l,0423trtri,0.668452969
21,W-L,w,l,0428trtri,0.351406409
21,W-L,w,l,0430trtri,1.277520959
21,W-L,w,l,0504trtri,0.686142269
21,W-L,w,l,0511trtri,1.210488506
21,W-L,w,l,0525trtri,0.655601331
21,W-L,w,l,0528trtri,0.496236899
21,W-L,w,l,0530trtri,0.961173243
21,W-L,w,l,0603trtri,1.237125749
21,W-L,w,l,0610trtri,1.134616878
21,W-L,w,l,0624trtri,2.306876228
21,W-L,w,l,0628trtri,1.263228064
22,G-L,g,l,0324trtri,1.558649384
22,G-L,g,l,0423trtri,1.017486955
22,G-L,g,l,0428trtri,0.835226828
22,G-L,g,l,0430trtri,4.85857557
22,G-L,g,l,0504trtri,1.631407071
22,G-L,g,l,0511trtri,4.962643678
22,G-L,g,l,0525trtri,4.559499287
22,G-L,g,l,0528trtri,1.468312584
22,G-L,g,l,0530trtri,4.397552226
22,G-L,g,l,0603trtri,5.910179641
22,G-L,g,l,0610trtri,5.648241596
22,G-L,g,l,0624trtri,3.993713163
22,G-L,g,l,0628trtri,3.336805266
23,G-C,g,c,0324trtri,2.118338934
23,G-C,g,c,0423trtri,3.181145114
23,G-C,g,c,0428trtri,4.00846196
23,G-C,g,c,0430trtri,3.335030949
23,G-C,g,c,0504trtri,5.181740735
23,G-C,g,c,0511trtri,4.30316092
23,G-C,g,c,0525trtri,4.769450166
23,G-C,g,c,0528trtri,1.722937329
23,G-C,g,c,0530trtri,2.356685658
23,G-C,g,c,0603trtri,3.512974052
23,G-C,g,c,0610trtri,5.608260228
23,G-C,g,c,0624trtri,3.066011788
23,G-C,g,c,0628trtri,3.52803933
24,G-L,g,l,0324trtri,0.930948952
24,G-L,g,l,0423trtri,2.490480891
24,G-L,g,l,0428trtri,3.518765181
24,G-L,g,l,0430trtri,2.964036668
24,G-L,g,l,0504trtri,5.343248616
24,G-L,g,l,0511trtri,5.169181034
24,G-L,g,l,0528trtri,3.765210663
24,G-L,g,l,0530trtri,2.438629809
24,G-L,g,l,0603trtri,5.377644711
24,G-L,g,l,0610trtri,4.798152317
24,G-L,g,l,0624trtri,4.566994106
24,G-L,g,l,0628trtri,3.191400717
25,G-C,g,c,0324trtri,2.491598656
25,G-C,g,c,0423trtri,5.662106896
25,G-C,g,c,0428trtri,5.4379848
25,G-C,g,c,0430trtri,2.572279245
25,G-C,g,c,0504trtri,2.627431492
25,G-C,g,c,0511trtri,3.422054598
25,G-C,g,c,0525trtri,4.169307558
25,G-C,g,c,0528trtri,5.23211648
25,G-C,g,c,0530trtri,2.744601533
25,G-C,g,c,0603trtri,5.444311377
25,G-C,g,c,0610trtri,2.867401599
25,G-C,g,c,0624trtri,4.847937132
25,G-C,g,c,0628trtri,2.24856262
26,W-L,w,l,0324trtri,1.109777564
26,W-L,w,l,0423trtri,1.214215202
26,W-L,w,l,0428trtri,0.530439552
26,W-L,w,l,0430trtri,1.818537961
26,W-L,w,l,0504trtri,1.624307823
26,W-L,w,l,0511trtri,2.041666667
26,W-L,w,l,0525trtri,1.077087625
26,W-L,w,l,0528trtri,0.727649996
26,W-L,w,l,0530trtri,0.938313287
26,W-L,w,l,0603trtri,4.79241517
26,W-L,w,l,0610trtri,2.023911187
26,W-L,w,l,0624trtri,3.790962672
26,W-L,w,l,0628trtri,3.054745438
27,W-C,w,c,0324trtri,0.838934229
27,W-C,w,c,0423trtri,1.484628402
27,W-C,w,c,0428trtri,2.687847685
27,W-C,w,c,0430trtri,2.282770509
27,W-C,w,c,0504trtri,2.720431634
27,W-C,w,c,0511trtri,1.510775862
27,W-C,w,c,0525trtri,1.680003169
27,W-C,w,c,0528trtri,1.57065485
27,W-C,w,c,0530trtri,1.095519449
27,W-C,w,c,0603trtri,2.96247505
27,W-C,w,c,0610trtri,2.373262945
27,W-C,w,c,0624trtri,5.103732809
27,W-C,w,c,0628trtri,2.45396217
28,G-L,g,l,0324trtri,0.906545047
28,G-L,g,l,0423trtri,4.385488648
28,G-L,g,l,0428trtri,1.438141503
28,G-L,g,l,0430trtri,2.940153344
28,G-L,g,l,0504trtri,1.228169814
28,G-L,g,l,0511trtri,3.352011494
28,G-L,g,l,0525trtri,5.438916178
28,G-L,g,l,0528trtri,1.463740592
28,G-L,g,l,0530trtri,4.044710579
28,G-L,g,l,0603trtri,3.808782435
28,G-L,g,l,0610trtri,4.714696064
28,G-L,g,l,0624trtri,4.201571709
28,G-L,g,l,0628trtri,6.082409799
29,G-L,g,l,0324trtri,1.840694511
29,G-L,g,l,0423trtri,4.546608377
29,G-L,g,l,0428trtri,2.468463527
29,G-L,g,l,0430trtri,1.566093994
29,G-L,g,l,0504trtri,2.550759619
29,G-L,g,l,0511trtri,5.08045977
29,G-L,g,l,0525trtri,2.501584535
29,G-L,g,l,0528trtri,2.779419005
29,G-L,g,l,0530trtri,1.846706587
29,G-L,g,l,0603trtri,4.10259481
29,G-L,g,l,0610trtri,4.130890459
29,G-L,g,l,0624trtri,4.293516699
30,W-C,w,c,0324trtri,2.11593855
30,W-C,w,c,0423trtri,1.550557044
30,W-C,w,c,0428trtri,2.193449816
30,W-C,w,c,0430trtri,0.893440295
30,W-C,w,c,0504trtri,1.547635951
30,W-C,w,c,0511trtri,3.746767241
30,W-C,w,c,0525trtri,2.993978767
30,W-C,w,c,0528trtri,1.806639938
30,W-C,w,c,0530trtri,2.374451098
30,W-C,w,c,0603trtri,4.445908184
30,W-C,w,c,0610trtri,2.467199752
30,W-C,w,c,0624trtri,2.600392927
30,W-C,w,c,0628trtri,2.098991751
31,G-L,g,l,0324trtri,1.344615138
31,G-L,g,l,0423trtri,1.843181498
31,G-L,g,l,0428trtri,3.5066207
31,G-L,g,l,0430trtri,3.718230868
31,G-L,g,l,0504trtri,6.195513276
31,G-L,g,l,0511trtri,4.128591954
31,G-L,g,l,0525trtri,2.495246395
31,G-L,g,l,0528trtri,1.664556517
31,G-L,g,l,0530trtri,1.165668663
31,G-L,g,l,0603trtri,2.547704591
31,G-L,g,l,0610trtri,5.069482183
31,G-L,g,l,0624trtri,2.78978389
31,G-L,g,l,0628trtri,4.199233397
32,W-L,w,l,0324trtri,1.826692271
32,W-L,w,l,0423trtri,1.040050769
32,W-L,w,l,0428trtri,0.787824179
32,W-L,w,l,0430trtri,0.707085049
32,W-L,w,l,0504trtri,1.494391594
32,W-L,w,l,0511trtri,2.565373563
32,W-L,w,l,0525trtri,4.852242117
32,W-L,w,l,0528trtri,2.163606949
32,W-L,w,l,0530trtri,3.847904192
32,W-L,w,l,0603trtri,5.7249501
32,W-L,w,l,0610trtri,5.593121652
32,W-L,w,l,0624trtri,2.597249509
32,W-L,w,l,0628trtri,2.517706858
33,W-C,w,c,0324trtri,1.351016163
33,W-C,w,c,0423trtri,0.846495558
33,W-C,w,c,0428trtri,1.153725613
33,W-C,w,c,0430trtri,3.779994321
33,W-C,w,c,0504trtri,1.938804487
33,W-C,w,c,0511trtri,2.196479885
33,W-C,w,c,0525trtri,1.642766598
33,W-C,w,c,0528trtri,1.763381867
33,W-C,w,c,0530trtri,2.41996008
33,W-C,w,c,0603trtri,4.841916168
33,W-C,w,c,0610trtri,2.572005279
33,W-C,w,c,0624trtri,1.851473477
33,W-C,w,c,0628trtri,1.442379802
34,W-C,w,c,0324trtri,1.029364698
34,W-C,w,c,0423trtri,1.283316881
34,W-C,w,c,0428trtri,3.34090731
34,W-C,w,c,0430trtri,4.093071134
34,W-C,w,c,0504trtri,2.805977566
34,W-C,w,c,0511trtri,3.76795977
34,W-C,w,c,0525trtri,1.020836634
34,W-C,w,c,0528trtri,1.54709151
34,W-C,w,c,0530trtri,2.841916168
34,W-C,w,c,0603trtri,3.196007984
34,W-C,w,c,0610trtri,2.74629299
34,W-C,w,c,0624trtri,2.295088409
34,W-C,w,c,0628trtri,3.408882593
35,W-L,w,l,0324trtri,2.459993599
35,W-L,w,l,0423trtri,1.760329996
35,W-L,w,l,0428trtri,2.791663402
35,W-L,w,l,0430trtri,4.087746699
35,W-L,w,l,0504trtri,4.450163283
35,W-L,w,l,0511trtri,4.684985632
35,W-L,w,l,0525trtri,3.310489621
35,W-L,w,l,0528trtri,2.388689597
35,W-L,w,l,0530trtri,4.251497006
35,W-L,w,l,0603trtri,5.34251497
35,W-L,w,l,0610trtri,3.178324664
35,W-L,w,l,0624trtri,2.742632613
35,W-L,w,l,0628trtri,3.130989084
36,G-L,g,l,0324trtri,2.112738038
36,G-L,g,l,0423trtri,1.032999577
36,G-L,g,l,0504trtri,2.996237399
36,G-L,g,l,0511trtri,4.915948276
36,G-L,g,l,0525trtri,2.335208366
36,G-L,g,l,0528trtri,1.675107266
36,G-L,g,l,0603trtri,2.406387226
36,G-L,g,l,0610trtri,3.758248583
36,G-L,g,l,0624trtri,2.849901768
